product_code,title,product_description,currency,price,product_quantity_raw,price_per_product_quantity_raw,tax_details,additional_manufacturer,manufacturers,product_info_url,country,product_img_url,availability,raw_data,raw_html
BAKPROFEYE0110,Full Face Visor Shields  Box of 10,,GBP,"£
                        44.40",1,,(Inc. VAT),,,https://www.medema.co.uk/full_face_visor_shields,UK,./media/products/b5add1a60d30ec77f49d745ad2369b27.jpg|./media/products/b5add1a60d30ec77f49d745ad2369b27.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/dental_face_shield_with_anti_-fog_coating,UK,,,,
NET T221108,Dental Face Shield With Anti -fog Coating|1 eyeglass frame with 10 replaceable visors,,GBP,"£
                        21.02",1,,(Inc. VAT),,,https://www.medema.co.uk/dental_face_shield_with_anti_-fog_coating,UK,./media/products/6903ca871c97a6ff7ebbeddcb98de088.jpg|./media/products/6903ca871c97a6ff7ebbeddcb98de088.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/impact-resistant_dental_safety_glasses,UK,,,,
NETMTEQT T221103,Impact-Resistant Dental Safety Glasses,,GBP,"£
                        10.79",1,,(Inc. VAT),,,https://www.medema.co.uk/impact-resistant_dental_safety_glasses,UK,./media/products/e7bbdc81981f9d6d1b2cfa7a10f6260d.jpg|./media/products/e7bbdc81981f9d6d1b2cfa7a10f6260d.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/safety_goggles_kit_-_fog_resistant_box_of_20_pieces,UK,,,,
GIM25646,Safety Goggles Kit - Fog Resistant Box of 20 Pieces,,GBP,"£
                        45.60",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_goggles_kit_-_fog_resistant_box_of_20_pieces,UK,./media/products/91a3399d98783653764f1c18e5dc3d91.jpg|./media/products/91a3399d98783653764f1c18e5dc3d91.jpg,,,
GM25647,Spare Shields Box of 20,,GBP,"£
                        32.39",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_goggles_kit_-_fog_resistant_box_of_20_pieces,UK,./media/products/ec9301497df66f4a2e56bf51728dcb64.jpg|./media/products/ec9301497df66f4a2e56bf51728dcb64.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/protective_face_visor_large_surface,UK,,,,
GIM-30846,Protective Face Visor Large Surface,,GBP,"£
                        31.63",1,,(Inc. VAT),,,https://www.medema.co.uk/protective_face_visor_large_surface,UK,./media/products/2980760823e6215b2f9ecb8b13cbc91d.jpg|./media/products/2980760823e6215b2f9ecb8b13cbc91d.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,,,,
PRE5420ZEB,Full Frame Coloured Protective  Eyewear Zebra,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/5420-ZEB.jpg|./media/products/5420-ZEB.jpg,,,
PRE5420TUT,Full Frame Coloured  Protective Eyewear Tutti Frutti,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/5420-TUT.jpg|./media/products/5420-TUT.jpg,,,
PRE5420ROS,Full Frame Coloured Protective Eyewear Rose,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/5420-ROS.jpg|./media/products/5420-ROS.jpg,,,
PRE5420 CAM,Full Frame Coloured  Protective Eyewear Camouflage,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/5420-CAM.jpg|./media/products/5420-CAM.jpg,,,
PRE5400FPUR,Full Frame Coloured  Protective Eyewear Frosted Purple,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/5400-F-PUR.jpg|./media/products/5400-F-PUR.jpg,,,
